'artikel_id'|'_artikel_nr'|'name'|'gtin'|'color'|'color_name'|'size'|'vk'|'price'|'pfad_bild'|'hwg_nr'|'hwg'|'wg_nr'|'wg'|'gr_pos'|'agroesse'|'sonderaktion'|'topartikel'|'neueingetroffen'|'b2b'|'b2c'|'infotext'|'rabattaktiv'|'weight'|'saison_nr'|'stoffart'|'Modell_nr'|'modell_bezeichnung'|'groessenstaffel_id'|'b2c_darstellung'|'b2c_discount'|'b2c_highlight'|'aktionsartikel'|'lager_nr'|'mwst'
'6'|'BA0000'|'Schrägband Polyester 28mm'||'0000'|'Black'|'ohne'|'0'|'0'||'1'|'Material'|'BA'|'Band'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'6'|'BA0000'|'Schrägband Polyester 28mm'||'0001'|'Red'|'ohne'|'0'|'0'||'1'|'Material'|'BA'|'Band'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'6'|'BA0000'|'Schrägband Polyester 28mm'||'0006'|'Creme'|'ohne'|'0'|'0'||'1'|'Material'|'BA'|'Band'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'29'|'EI0001'|'Saumband 1cm'||'0000'|'Black'|'ohne'|'0'|'0'||'1'|'Material'|'EI'|'Einlage'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'29'|'EI0001'|'Saumband 1cm'||'0002'|'White'|'ohne'|'0'|'0'||'1'|'Material'|'EI'|'Einlage'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'29'|'EI0001'|'Saumband 1cm'||'0004'|'Grey'|'ohne'|'0'|'0'||'1'|'Material'|'EI'|'Einlage'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'34'|'EI0002'|'Gewebeeinlage '||'0000'|'Black'|'ohne'|'0'|'0'||'1'|'Material'|'EI'|'Einlage'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'34'|'EI0002'|'Gewebeeinlage '||'0002'|'White'|'ohne'|'0'|'0'||'1'|'Material'|'EI'|'Einlage'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
'117'|'ET0002'|'Main Label hot cut small'||'0027'|'Rose'|'OS'|'0'|'0'||'1'|'Material'|'ET'|'Etiketten'|'001'|' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''||||'3'|'N'|'N'|'N'|'N'||'19.00'
'118'|'ET0003'|'Atelier Label'||'0000'|'Black'|'ohne'|'0'|'0'||'1'|'Material'|'ET'|'Etiketten'||' '|'N'|'N'|'N'|'N'|'N'|''|'Y'|''|''|||||'N'|'N'|'N'|'N'||'19.00'
