'_lager'|'artikel_id'|'farbe'|'groesse'|'gtin'|'qty'|'artikel_nr'|'bestellbestand'|'lagerbestand'|'dispo_sperre'
'1'|'136'|'0000'|'ohne'||'1'|'GA0003'|'0'|'1'|'N'
'1'|'136'|'0113'|'ohne'||'1'|'GA0003'|'0'|'1'|'N'
'1'|'136'|'0115'|'ohne'||'1'|'GA0003'|'0'|'1'|'N'
'1'|'137'|'0000'|'ohne'||'1'|'GA0004'|'0'|'1'|'N'
'1'|'137'|'0114'|'ohne'||'1'|'GA0004'|'0'|'1'|'N'
'1'|'137'|'0115'|'ohne'||'1'|'GA0004'|'0'|'1'|'N'
'1'|'139'|'0042'|'ohne'||'1'|'GA0006'|'0'|'1'|'N'
'1'|'139'|'0113'|'ohne'||'1'|'GA0006'|'0'|'1'|'N'
'1'|'139'|'0115'|'ohne'||'1'|'GA0006'|'0'|'1'|'N'
'1'|'140'|'0042'|'ohne'||'1'|'GA0007'|'0'|'1'|'N'
'1'|'141'|'0000'|'ohne'||'13'|'GA0008'|'0'|'13'|'N'
'1'|'141'|'0001'|'ohne'||'4'|'GA0008'|'0'|'4'|'N'
'1'|'141'|'0002'|'ohne'||'4'|'GA0008'|'0'|'4'|'N'
'1'|'141'|'0006'|'ohne'||'1'|'GA0008'|'0'|'1'|'N'
'1'|'141'|'0009'|'ohne'||'4'|'GA0008'|'0'|'4'|'N'
'1'|'141'|'0042'|'ohne'||'4'|'GA0008'|'0'|'4'|'N'
'1'|'141'|'0132'|'ohne'||'4'|'GA0008'|'0'|'4'|'N'
'1'|'141'|'0133'|'ohne'||'5'|'GA0008'|'0'|'5'|'N'
'1'|'141'|'0136'|'ohne'||'5'|'GA0008'|'0'|'5'|'N'
'1'|'142'|'0127'|'ohne'||'1'|'GA0009'|'0'|'1'|'N'
'1'|'143'|'0006'|'ohne'||'2'|'GA0010'|'0'|'2'|'N'
'1'|'144'|'0113'|'ohne'||'0'|'GA0011'|'5'|'0'|'N'
'1'|'144'|'0116'|'ohne'||'2'|'GA0011'|'5'|'2'|'N'
'1'|'144'|'0117'|'ohne'||'5'|'GA0011'|'0'|'5'|'N'
'1'|'144'|'0128'|'ohne'||'1'|'GA0011'|'0'|'1'|'N'
'1'|'145'|'0118'|'ohne'||'3'|'GA0012'|'0'|'3'|'N'
'1'|'146'|'0042'|'ohne'||'11'|'GA0013'|'0'|'11'|'N'
'1'|'146'|'0115'|'ohne'||'4'|'GA0013'|'0'|'4'|'N'
'1'|'146'|'0119'|'ohne'||'8'|'GA0013'|'0'|'8'|'N'
'1'|'146'|'0129'|'ohne'||'9'|'GA0013'|'0'|'9'|'N'
'1'|'147'|'0120'|'ohne'||'1'|'GA0014'|'0'|'1'|'N'
'1'|'148'|'0000'|'ohne'||'0'|'GA0015'|'4'|'0'|'N'
'1'|'148'|'0009'|'ohne'||'9'|'GA0015'|'0'|'9'|'N'
'1'|'148'|'0013'|'ohne'||'13'|'GA0015'|'0'|'13'|'N'
'1'|'148'|'0105'|'ohne'||'13'|'GA0015'|'0'|'13'|'N'
'1'|'149'|'0000'|'ohne'||'7'|'GA0016'|'0'|'7'|'N'
'1'|'150'|'0000'|'ohne'||'0'|'GA0017'|'5'|'0'|'N'
'1'|'150'|'0116'|'ohne'||'1'|'GA0017'|'0'|'1'|'N'
'1'|'150'|'0121'|'ohne'||'6'|'GA0017'|'0'|'6'|'N'
'1'|'151'|'0000'|'ohne'||'8'|'GA0018'|'0'|'8'|'N'
'1'|'151'|'0001'|'ohne'||'3'|'GA0018'|'0'|'3'|'N'
'1'|'151'|'0002'|'ohne'||'3'|'GA0018'|'0'|'3'|'N'
'1'|'151'|'0006'|'ohne'||'9'|'GA0018'|'0'|'9'|'N'
'1'|'151'|'0009'|'ohne'||'4'|'GA0018'|'0'|'4'|'N'
'1'|'151'|'0042'|'ohne'||'7'|'GA0018'|'0'|'7'|'N'
'1'|'151'|'0105'|'ohne'||'4'|'GA0018'|'0'|'4'|'N'
'1'|'151'|'0125'|'ohne'||'4'|'GA0018'|'0'|'4'|'N'
'1'|'151'|'0126'|'ohne'||'1'|'GA0018'|'0'|'1'|'N'
'1'|'151'|'0134'|'ohne'||'4'|'GA0018'|'0'|'4'|'N'
'1'|'151'|'0135'|'ohne'||'9'|'GA0018'|'0'|'9'|'N'
'1'|'152'|'0000'|'ohne'||'0'|'GA0019'|'6'|'0'|'N'
'1'|'153'|'0123'|'ohne'||'3'|'GA0020'|'0'|'3'|'N'
'1'|'154'|'0000'|'ohne'||'5'|'GA0021'|'3'|'5'|'N'
'1'|'154'|'0118'|'ohne'||'4'|'GA0021'|'0'|'4'|'N'
'1'|'154'|'0124'|'ohne'||'2'|'GA0021'|'0'|'2'|'N'
'1'|'156'|'0000'|'ohne'||'7'|'GA0022'|'0'|'7'|'N'
'1'|'156'|'0006'|'ohne'||'7'|'GA0022'|'0'|'7'|'N'
'1'|'157'|'0000'|'ohne'||'0'|'GA0023'|'10'|'0'|'N'
'1'|'157'|'0001'|'ohne'||'0'|'GA0023'|'10'|'0'|'N'
'1'|'157'|'0006'|'ohne'||'5'|'GA0023'|'0'|'5'|'N'
'1'|'157'|'0008'|'ohne'||'0'|'GA0023'|'10'|'0'|'N'
'1'|'157'|'0042'|'ohne'||'8'|'GA0023'|'0'|'8'|'N'
'1'|'157'|'0105'|'ohne'||'0'|'GA0023'|'10'|'0'|'N'
'1'|'157'|'0118'|'ohne'||'11'|'GA0023'|'0'|'11'|'N'
'1'|'157'|'0130'|'ohne'||'0'|'GA0023'|'4'|'0'|'N'
'1'|'158'|'0000'|'ohne'||'0'|'GA0024'|'5'|'0'|'N'
'1'|'158'|'0006'|'ohne'||'0'|'GA0024'|'5'|'0'|'N'
'1'|'158'|'0118'|'ohne'||'0'|'GA0024'|'5'|'0'|'N'
'1'|'169'|'0131'|'ohne'||'7'|'GA0025'|'0'|'7'|'N'
'1'|'171'|'0042'|'ohne'||'1'|'GA0026'|'2'|'1'|'N'
'1'|'172'|'0137'|'ohne'||'1'|'GA0027'|'0'|'1'|'N'
'1'|'174'|'0000'|'ohne'||'6'|'GA0028'|'0'|'6'|'N'
'1'|'174'|'0007'|'ohne'||'0'|'GA0028'|'2'|'0'|'N'
'1'|'174'|'0009'|'ohne'||'6'|'GA0028'|'0'|'6'|'N'
'1'|'174'|'0012'|'ohne'||'0'|'GA0028'|'2'|'0'|'N'
