'artikel_id'|'_artikel_nr'|'farb_nr'|'farb_bezeichnung'|'bild_typ'|'bild_pfad'
'134'|'S14-AC-120'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Trendy Rooms\\SMS\\Cube Ethno_mint.JPG'
'135'|'S14-AC-121'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Trendy Rooms\\SMS\\Cube Jungle Fever.JPG'
'126'|'S14-KW-002'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7370.JPG'
'127'|'S14-KW-003'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7362.JPG'
'128'|'S14-KW-004'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7360.JPG'
'129'|'S14-KW-007'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7377.JPG'
'130'|'S14-KW-013'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7364.JPG'
'131'|'S14-KW-016'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Black Q\\SMS\\IMG_7382.JPG'
'23'|'S14-KW-039'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\Lang Knitwear\\SMS\\Short Cardigan Wheele_front.JPG'
'11'|'S14-RW-030'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\SS 2014\\pictures\\RTW Modelle\\Resized\\P7120022.JPG'
'18'|'W13-AC-002'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Loretta\\SMS\\Hat2 Coco.JPG'
'65'|'W13-AC-018'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Loretta\\SMS\\Cap Fluo_arancio fluo.JPG'
'66'|'W13-AC-020'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Loretta\\SMS\\Cap17 Baghira.JPG'
'67'|'W13-AC-033'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Black Q\\SMS\\IMG_5542.JPG'
'68'|'W13-AC-034'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Black Q\\SMS\\IMG_5540.JPG'
'69'|'W13-AC-035'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\Black Q\\SMS\\IMG_5538.JPG'
'70'|'W13-AC-050'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\KRÄGEN\\IMG_5583.JPG'
'71'|'W13-AC-051'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\KRÄGEN\\IMG_5582.JPG'
'83'|'W13-AC-052'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\KRÄGEN\\IMG_5579.JPG'
'87'|'W13-AC-053'|''|''|'Foto'|'Z:\\Produktion\\Kollektionen\\FW 2013\\pictures\\ACC\\KRÄGEN\\IMG_5581.JPG'
