'_preisstaffel_nr'|'artikel_id'|'farb_nr'|'groesse'|'vk_preis'|'aktionspreis'|'von_datum'|'bis_datum'|'staffel_1'|'staffel_2'|'staffel_3'|'staffel_4'|'staffel_5'|'vk_1'|'vk_2'|'vk_3'|'vk_4'|'vk_5'|'rabatt_1'|'empfohlener_VK'
'1'|'100'|'0057'|'OS'|'113.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'113.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'298.000'
'1'|'101'|'0058'|'OS'|'130.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'130.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'349.000'
'1'|'101'|'0059'|'OS'|'130.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'130.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'349.000'
'1'|'101'|'0060'|'OS'|'130.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'130.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'349.000'
'1'|'102'|'0000'|'L'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0000'|'M'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0000'|'S'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0000'|'XS'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0073'|'L'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0073'|'M'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0073'|'S'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0073'|'XS'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0074'|'L'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0074'|'M'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0074'|'S'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'102'|'0074'|'XS'|'70.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'70.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'189.000'
'1'|'103'|'0083'|'L'|'110.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'110.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'298.000'
'1'|'103'|'0083'|'M'|'110.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'110.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'298.000'
'1'|'103'|'0083'|'S'|'110.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'110.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'298.000'
'1'|'103'|'0083'|'XS'|'110.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'110.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'298.000'
'1'|'104'|'0061'|'OS'|'130.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'130.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'349.000'
'1'|'104'|'0062'|'OS'|'130.000'|'0.000'|'2000-01-01'|'2000-01-01'|'0'|'0'|'0'|'0'|'0'|'130.000'|'0.000'|'0.000'|'0.000'|'0.000'|'0.00'|'349.000'
