'_Artikel_nr'|'qualitaet_nr'|'bezeichnung'|'hinweis'|'sprache'
'FU0001'|'4'|||'de'
'FU0001'|'4'|'100% CV'||'en'
'GA0000'|'26'|||'de'
'GA0000'|'26'|'100% CV'||'en'
'GA0001'|'27'|||'de'
'GA0001'|'27'|'100% PES'||'en'
'GA0002'|'48'|||'de'
'GA0002'|'48'|'61% CO 39% PA'||'en'
'GA0003'|'43'|||'de'
'GA0003'|'43'|'65% Baby WP 20% WV 15% PA'||'en'
'GA0004'|'44'|||'de'
'GA0004'|'44'|'90% WO 10%PA'||'en'
'GA0005'|'45'|||'de'
'GA0005'|'45'|'67% WO 30 % Baby WP 3% PA'||'en'
'GA0006'|'46'|||'de'
'GA0006'|'46'|'100% WV'|'Virgin Wool Merino'|'en'
'GA0007'|'47'|||'de'
'GA0007'|'47'|'70% WP 30%PA'||'en'
'GA0008'|'17'|||'de'
'GA0008'|'17'|'100% WO'||'en'
'GA0009'|'49'|||'de'
'GA0009'|'49'|'85% PES 15% CO'||'en'
'GA0010'|'50'|||'de'
'GA0010'|'50'|'58% Baby WP 34%PA 8%WV'||'en'
'GA0011'|'51'|||'de'
'GA0011'|'51'|'28%WV 20%Baby WP 20%PC 20%PES 12%PA'||'en'
'GA0012'|'53'|||'de'
'GA0012'|'53'|'34%PC 32%Baby WP 22%PA 12%WV'||'en'
'GA0013'|'54'|||'de'
'GA0013'|'54'|'41%WV 34%WP 25%PC'||'en'
'GA0014'|'55'|||'de'
'GA0014'|'55'|'39%WO 25%PC 22%WP 13%PA 1%EA'||'en'
'GA0015'|'56'|||'de'
'GA0015'|'56'|'68%Baby WP 22%PA 10%WV'||'en'
'GA0016'|'57'|||'de'
'GA0016'|'57'|'70% WV 30% PA'||'en'
'GA0017'|'52'|||'de'
'GA0017'|'52'|'70% CV 16% PA 14% Metallized Fiber'||'en'
'GA0018'|'58'|||'de'
'GA0018'|'58'|'40%WO 25%PA 25%CV 10%WS'||'en'
'GA0020'|'6'|||'de'
'GA0020'|'6'|'100% Merino Wool extra fine'||'en'
'GA0021'|'60'|||'de'
'GA0021'|'60'|'87% Merino Wool extra fine 13% Nylon'||'en'
'GA0022'|'61'|||'de'
'GA0022'|'61'|'45%WO 25%CV 25%PA 5%WS'||'en'
'GA0023'|'62'|||'de'
'GA0023'|'62'|'63% Baby WP 30%PA 7%WO'||'en'
'GA0024'|'34'|||'de'
'GA0024'|'34'|'90%WA10%PA'||'en'
'GA0025'|'17'|||'de'
'GA0025'|'17'|'100% WO'||'en'
'GA0026'|'5'|||'de'
'GA0026'|'5'|'100% WS'||'en'
'GA0027'|'5'|||'de'
'GA0027'|'5'|'100% WS'||'en'
'GA0028'|'63'|||'de'
'GA0028'|'63'|'45% WO 30% AC 25% WP'||'en'
'GA0029'|'17'|||'de'
'GA0029'|'17'|'100% WO'||'en'
'GA0030'|'5'|||'de'
'GA0030'|'5'|'100% WS'||'en'
'GA0031'|'67'|||'de'
'GA0031'|'67'|'80% WA 20% PA'||'en'
'S14-AC-120'|'41'|||'de'
'S14-AC-120'|'41'|'50% CO 50% CV'||'en'
'S14-AC-121'|'41'|||'de'
'S14-AC-121'|'41'|'50% CO 50% CV'||'en'
'S14-KW-002'|'6'|||'de'
'S14-KW-002'|'6'|'100% Merino Wool extra fine'||'en'
'S14-KW-003'|'6'|||'de'
'S14-KW-003'|'6'|'100% Merino Wool extra fine'||'en'
'S14-KW-004'|'21'|||'de'
'S14-KW-004'|'21'|'65% RY 35% NY'||'en'
'S14-KW-007'|'6'|||'de'
'S14-KW-007'|'6'|'100% Merino Wool extra fine'||'en'
'S14-KW-013'|'21'|||'de'
'S14-KW-013'|'21'|'65% RY 35% NY'||'en'
'S14-KW-016'|'21'|||'de'
'S14-KW-016'|'21'|'65% RY 35% NY'||'en'
'S14-KW-039'|'27'|||'de'
'S14-KW-039'|'27'|'100% PES'||'en'
'S14-RW-001'|'1'|||'de'
'S14-RW-001'|'1'|'100% SE'||'en'
'S14-RW-002'|'1'|||'de'
'S14-RW-002'|'1'|'100% SE'||'en'
'S14-RW-003'|'1'|||'de'
'S14-RW-003'|'1'|'100% SE'||'en'
'S14-RW-004'|'1'|||'de'
'S14-RW-004'|'1'|'100% SE'||'en'
'S14-RW-006'|'1'|||'de'
'S14-RW-006'|'1'|'100% SE'||'en'
'S14-RW-008'|'1'|||'de'
'S14-RW-008'|'1'|'100% SE'||'en'
'S14-RW-009'|'1'|||'de'
'S14-RW-009'|'1'|'100% SE'||'en'
'S14-RW-011'|'1'|||'de'
'S14-RW-011'|'1'|'100% SE'||'en'
'S14-RW-012'|'1'|||'de'
'S14-RW-012'|'1'|'100% SE'||'en'
'S14-RW-016'|'1'|||'de'
'S14-RW-016'|'1'|'100% SE'||'en'
'S14-RW-017'|'1'|||'de'
'S14-RW-017'|'1'|'100% SE'||'en'
'S14-RW-025'|'1'|||'de'
'S14-RW-025'|'1'|'100% SE'||'en'
'S14-RW-026'|'64'|||'de'
'S14-RW-026'|'64'|'63%Pes 27%Vi 7%Co 3% El + 55% Cu 45%Vi'||'en'
'S14-RW-028'|'64'|||'de'
'S14-RW-028'|'64'|'63%Pes 27%Vi 7%Co 3% El + 55% Cu 45%Vi'||'en'
'S14-RW-030'|'9'|||'de'
'S14-RW-030'|'9'|'72% PES 28% CO'||'en'
'S14-RW-033'|'8'|||'de'
'S14-RW-033'|'8'|'55% CU 45% CV'||'en'
'S14-RW-034'|'3'|||'de'
'S14-RW-034'|'3'|'95% CO 5% EL'||'en'
'S14-RW-037'|'8'|||'de'
